"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Erev Purim","1/3/1999",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","2/3/1999",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","31/3/1999",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","1/4/1999",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","2/4/1999",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","3/4/1999",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","4/4/1999",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","5/4/1999",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","6/4/1999",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","7/4/1999",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","20/5/1999",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","21/5/1999",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","21/7/1999",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","22/7/1999",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","10/9/1999",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5760","11/9/1999",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","12/9/1999",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","19/9/1999",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","20/9/1999",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","24/9/1999",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","25/9/1999",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","26/9/1999",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","27/9/1999",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","28/9/1999",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","29/9/1999",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","30/9/1999",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","1/10/1999",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","2/10/1999",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","3/12/1999",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","4/12/1999",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","5/12/1999",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","6/12/1999",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","7/12/1999",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","8/12/1999",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","9/12/1999",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","10/12/1999",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Erev Purim","20/3/2000",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","21/3/2000",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","19/4/2000",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","20/4/2000",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","21/4/2000",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","22/4/2000",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","23/4/2000",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","24/4/2000",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","25/4/2000",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","26/4/2000",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","8/6/2000",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","9/6/2000",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","9/8/2000",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","10/8/2000",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","29/9/2000",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5761","30/9/2000",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","1/10/2000",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","8/10/2000",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/10/2000",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","13/10/2000",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","14/10/2000",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","15/10/2000",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","16/10/2000",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","17/10/2000",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","18/10/2000",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","19/10/2000",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","20/10/2000",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","21/10/2000",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","21/12/2000",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","22/12/2000",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","23/12/2000",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","24/12/2000",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","25/12/2000",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","26/12/2000",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","27/12/2000",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","28/12/2000",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Erev Purim","8/3/2001",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","9/3/2001",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","7/4/2001",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","8/4/2001",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","9/4/2001",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","10/4/2001",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","11/4/2001",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","12/4/2001",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","13/4/2001",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","14/4/2001",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","27/5/2001",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","28/5/2001",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","28/7/2001",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","29/7/2001",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","17/9/2001",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5762","18/9/2001",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","19/9/2001",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","26/9/2001",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","27/9/2001",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","1/10/2001",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","2/10/2001",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","3/10/2001",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","4/10/2001",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","5/10/2001",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","6/10/2001",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","7/10/2001",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","8/10/2001",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","9/10/2001",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","9/12/2001",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","10/12/2001",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","11/12/2001",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","12/12/2001",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","13/12/2001",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","14/12/2001",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","15/12/2001",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","16/12/2001",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Erev Purim","25/2/2002",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","26/2/2002",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","27/3/2002",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","28/3/2002",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","29/3/2002",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","30/3/2002",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","31/3/2002",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","1/4/2002",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","2/4/2002",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","3/4/2002",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","16/5/2002",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","17/5/2002",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","17/7/2002",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","18/7/2002",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","6/9/2002",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5763","7/9/2002",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","8/9/2002",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","15/9/2002",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","16/9/2002",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","20/9/2002",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","21/9/2002",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","22/9/2002",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","23/9/2002",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","24/9/2002",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","25/9/2002",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","26/9/2002",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","27/9/2002",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","28/9/2002",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","29/11/2002",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","30/11/2002",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","1/12/2002",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","2/12/2002",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","3/12/2002",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
