"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Erev Purim","4/3/1996",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","5/3/1996",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","3/4/1996",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/4/1996",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","5/4/1996",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","6/4/1996",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","7/4/1996",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","8/4/1996",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","9/4/1996",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","10/4/1996",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","23/5/1996",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","24/5/1996",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","24/7/1996",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","25/7/1996",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","13/9/1996",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5757","14/9/1996",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","15/9/1996",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","22/9/1996",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","23/9/1996",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","27/9/1996",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","28/9/1996",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","29/9/1996",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","30/9/1996",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","1/10/1996",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","2/10/1996",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","3/10/1996",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","4/10/1996",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","5/10/1996",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","5/12/1996",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","6/12/1996",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","7/12/1996",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
