"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Erev Purim","20/3/2019",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","21/3/2019",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","19/4/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","20/4/2019",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","21/4/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","22/4/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","23/4/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","24/4/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","25/4/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","26/4/2019",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","8/6/2019",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","9/6/2019",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","10/8/2019",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av (observed)","11/8/2019",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","29/9/2019",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5780","30/9/2019",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","1/10/2019",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","8/10/2019",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/10/2019",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","13/10/2019",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","14/10/2019",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","15/10/2019",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","16/10/2019",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","17/10/2019",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","18/10/2019",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","19/10/2019",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","20/10/2019",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","21/10/2019",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","22/12/2019",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","23/12/2019",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","24/12/2019",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","25/12/2019",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","26/12/2019",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","27/12/2019",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","28/12/2019",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","29/12/2019",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Erev Purim","9/3/2020",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","10/3/2020",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","8/4/2020",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","9/4/2020",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","10/4/2020",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","11/4/2020",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","12/4/2020",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","13/4/2020",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","14/4/2020",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","15/4/2020",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","28/5/2020",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","29/5/2020",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","29/7/2020",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","30/7/2020",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","18/9/2020",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5781","19/9/2020",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","20/9/2020",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","27/9/2020",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","28/9/2020",,,,"true","Day of Atonement","4","Jewish Holidays"
