"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Erev Purim","15/3/1995",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","16/3/1995",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","14/4/1995",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","15/4/1995",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","16/4/1995",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","17/4/1995",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","18/4/1995",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","19/4/1995",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","20/4/1995",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","21/4/1995",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","3/6/1995",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","4/6/1995",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","5/8/1995",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av (observed)","6/8/1995",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","24/9/1995",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5756","25/9/1995",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","26/9/1995",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","3/10/1995",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","4/10/1995",,,,"true","Day of Atonement","4","Jewish Holidays"
