"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Erev Purim","18/3/1992",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","19/3/1992",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","17/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","18/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","19/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","20/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","21/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","22/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","23/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","24/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","6/6/1992",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","7/6/1992",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","8/8/1992",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av (observed)","9/8/1992",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","27/9/1992",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5753","28/9/1992",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","29/9/1992",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","6/10/1992",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","7/10/1992",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","11/10/1992",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","12/10/1992",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","13/10/1992",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","14/10/1992",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","15/10/1992",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","16/10/1992",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","17/10/1992",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","18/10/1992",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","19/10/1992",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","19/12/1992",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","20/12/1992",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","21/12/1992",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","22/12/1992",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","23/12/1992",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","24/12/1992",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","25/12/1992",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","26/12/1992",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Erev Purim","6/3/1993",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","7/3/1993",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","5/4/1993",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","6/4/1993",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","7/4/1993",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","8/4/1993",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","9/4/1993",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","10/4/1993",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","11/4/1993",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","12/4/1993",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","25/5/1993",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","26/5/1993",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","26/7/1993",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","27/7/1993",,,,"true","The Ninth of Av","3","Jewish Holidays"
