"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Erev Purim","10/3/1990",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","11/3/1990",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","9/4/1990",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","10/4/1990",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","11/4/1990",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","12/4/1990",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","13/4/1990",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","14/4/1990",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","15/4/1990",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","16/4/1990",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","29/5/1990",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","30/5/1990",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","30/7/1990",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","31/7/1990",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","19/9/1990",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5751","20/9/1990",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","21/9/1990",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","28/9/1990",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","29/9/1990",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","3/10/1990",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","4/10/1990",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","5/10/1990",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","6/10/1990",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","7/10/1990",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","8/10/1990",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","9/10/1990",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/10/1990",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","11/10/1990",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","11/12/1990",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","12/12/1990",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","13/12/1990",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","14/12/1990",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","15/12/1990",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","16/12/1990",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","17/12/1990",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","18/12/1990",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Erev Purim","27/2/1991",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","28/2/1991",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","29/3/1991",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","30/3/1991",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","31/3/1991",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","1/4/1991",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","2/4/1991",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","3/4/1991",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","4/4/1991",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","5/4/1991",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","18/5/1991",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","19/5/1991",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","20/7/1991",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av (observed)","21/7/1991",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","8/9/1991",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5752","9/9/1991",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","10/9/1991",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","17/9/1991",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","18/9/1991",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","22/9/1991",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","23/9/1991",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","24/9/1991",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","25/9/1991",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","26/9/1991",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","27/9/1991",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","28/9/1991",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","29/9/1991",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","30/9/1991",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","1/12/1991",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","2/12/1991",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","3/12/1991",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","4/12/1991",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","5/12/1991",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","6/12/1991",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","7/12/1991",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","8/12/1991",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Erev Purim","18/3/1992",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","19/3/1992",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","17/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","18/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","19/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","20/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","21/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","22/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","23/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","24/4/1992",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","6/6/1992",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","7/6/1992",,,,"true","Festival of Weeks","4","Jewish Holidays"
