"name","Longitude","Latitude","id"
NA,35.104297,31.8862738,156
NA,35.1042358,31.8862948,157
NA,35.8822727,31.9050211,158
NA,35.5575312,31.8306336,159
NA,35.5575314,31.8305895,160
NA,35.5574864,31.8305894,161
NA,35.5574862,31.8306335,162
NA,35.884426,31.9059681,163
NA,35.1226294,31.9999518,164
NA,34.4313733,31.4694325,165
"Netzarim Checkpoint",34.406004,31.4932607,166
"حاجز حوارة",35.2631556,32.1632975,167
NA,35.3532723,31.8614139,168
