"dates","festivities"
"2002-11-06","1st Ramadan"
"2002-12-05","1st Shawwal"
"2003-01-04","1st Dhul Qadah"
"2003-02-02","1st Dhul Hijjah"
"2003-03-04","1st Muharram"
"2003-04-03","1st Safar"
"2003-05-02","1st Rabi ul Awal"
"2003-06-01","1st Rabi Al-Akhar"
"2003-07-01","1st Jumada Al-Awwal"
"2003-07-30","1st Jumada Al-Akhirah"
"2003-08-29","1st Rajab"
"2003-09-27","1st Shaban"
"2003-10-26","1st Ramadan"
"2003-11-25","1st Shawwal"
"2003-12-24","1st Dhul Qadah"
"2004-01-23","1st Dhul Hijjah"
"2004-02-21","1st Muharram"
"2004-03-22","1st Safar"
"2004-04-20","1st Rabi ul Awal"
"2004-05-20","1st Rabi Al-Akhar"
"2004-06-19","1st Jumada Al-Awwal"
"2004-07-18","1st Jumada Al-Akhirah"
"2004-08-17","1st Rajab"
"2004-09-15","1st Shaban"
"2004-10-15","1st Ramadan"
"2004-11-14","1st Shawwal"
"2004-12-13","1st Dhul Qadah"
"2005-01-12","1st Dhul Hijjah"
"2005-02-10","1st Muharram"
"2005-03-11","1st Safar"
"2005-04-10","1st Rabi ul Awal"
"2005-05-09","1st Rabi Al-Akhar"
"2005-06-08","1st Jumada Al-Awwal"
"2005-07-07","1st Jumada Al-Akhirah"
"2005-08-06","1st Rajab"
"2005-09-05","1st Shaban"
"2005-10-04","1st Ramadan"
"2005-11-03","1st Shawwal"
"2005-12-03","1st Dhul Qadah"
"2006-01-01","1st Dhul Hijjah"
"2006-01-31","1st Muharram"
"2006-03-01","1st Safar"
"2006-03-30","1st Rabi ul Awal"
"2006-04-29","1st Rabi Al-Akhar"
"2006-05-28","1st Jumada Al-Awwal"
"2006-06-27","1st Jumada Al-Akhirah"
"2006-07-26","1st Rajab"
"2006-08-25","1st Shaban"
"2006-09-24","1st Ramadan"
"2006-10-23","1st Shawwal"
"2006-11-22","1st Dhul Qadah"
"2006-12-22","1st Dhul Hijjah"
"2007-01-20","1st Muharram"
"2007-02-19","1st Safar"
"2007-03-20","1st Rabi ul Awal"
"2007-04-18","1st Rabi Al-Akhar"
"2007-05-18","1st Jumada Al-Awwal"
"2007-06-16","1st Jumada Al-Akhirah"
"2007-07-15","1st Rajab"
"2007-08-14","1st Shaban"
"2007-09-13","1st Ramadan"
"2007-10-13","1st Shawwal"
"2007-11-11","1st Dhul Qadah"
"2007-12-11","1st Dhul Hijjah"
"2008-01-10","1st Muharram"
"2008-02-08","1st Safar"
"2008-03-09","1st Rabi ul Awal"
"2008-04-07","1st Rabi Al-Akhar"
"2008-05-06","1st Jumada Al-Awwal"
"2008-06-05","1st Jumada Al-Akhirah"
"2008-07-04","1st Rajab"
"2008-08-02","1st Shaban"
"2008-09-01","1st Ramadan"
"2008-10-01","1st Shawwal"
"2008-10-30","1st Dhul Qadah"
"2008-11-29","1st Dhul Hijjah"
"2008-12-29","1st Muharram"
"2009-01-27","1st Safar"
"2009-02-26","1st Rabi ul Awal"
"2009-03-28","1st Rabi Al-Akhar"
"2009-04-26","1st Jumada Al-Awwal"
"2009-05-25","1st Jumada Al-Akhirah"
"2009-06-24","1st Rajab"
"2009-07-23","1st Shaban"
"2009-08-22","1st Ramadan"
"2009-09-20","1st Shawwal"
"2009-10-20","1st Dhul Qadah"
"2009-11-18","1st Dhul Hijjah"
"2009-12-18","1st Muharram"
"2010-01-16","1st Safar"
"2010-02-15","1st Rabi ul Awal"
"2010-03-17","1st Rabi Al-Akhar"
"2010-04-15","1st Jumada Al-Awwal"
"2010-05-15","1st Jumada Al-Akhirah"
"2010-06-13","1st Rajab"
"2010-07-13","1st Shaban"
"2010-08-11","1st Ramadan"
"2010-09-10","1st Shawwal"
"2010-10-09","1st Dhul Qadah"
"2010-11-07","1st Dhul Hijjah"
"2010-12-07","1st Muharram"
"2011-01-05","1st Safar"
"2011-02-04","1st Rabi ul Awal"
"2011-03-06","1st Rabi Al-Akhar"
"2011-04-05","1st Jumada Al-Awwal"
"2011-05-04","1st Jumada Al-Akhirah"
"2011-06-03","1st Rajab"
"2011-07-02","1st Shaban"
"2011-08-01","1st Ramadan"
"2011-08-30","1st Shawwal"
