"","nearest_chp","dist_nearest_chp"
"1",166,0.100792700000003
"2",91,0.0518346999999935
"3",101,0.249335300000006
"4",166,0.132875700000003
"5",99,0.0665973000000015
"6",165,0.0658612000000076
"7",167,0.0570859000000041
"8",167,0.0570859000000041
"9",167,0.0570859000000041
"10",166,0.256615700000005
"11",166,0.256615700000005
"12",167,0.0570859000000041
"13",104,0.232760499999998
"14",99,0.0665973000000015
"15",166,0.362038700000006
"16",20,0.0505424000000012
"17",6,0.155292699999997
"18",168,0.111324599999996
"19",113,0.0905132999999942
"20",101,0.267537900000008
"21",38,0.0741097999999987
"22",166,0.362038700000006
"23",167,0.0570859000000041
"24",167,0.0570859000000041
"25",101,0.181846300000004
"26",101,0.378513300000009
"27",101,0.378513300000009
"28",166,0.362038700000006
"29",5,0.126375000000003
"30",101,0.265002899999999
"31",99,0.0665973000000015
"32",101,0.265002899999999
"33",101,0.265002899999999
"34",101,0.196149900000002
"35",167,0.0665359000000052
"36",132,0.249882700000001
"37",104,0.212928499999997
"38",12,0.434936799999999
"39",101,0.265002899999999
"40",101,0.265002899999999
"41",110,0.321790700000001
"42",166,0.251764700000006
"43",101,0.235098900000004
"44",167,0.0908469000000025
"45",132,0.266548699999994
"46",6,0.155292699999997
"47",104,0.334040499999993
"48",104,0.334040499999993
"49",12,0.434936799999999
"50",166,0.251764700000006
"51",101,0.265002899999999
"52",12,0.421279600000005
"53",165,0.0658612000000076
"54",113,0.0905132999999942
"55",166,0.256615700000005
"56",104,0.340932500000001
"57",104,0.212928499999997
"58",134,0.019023599999997
"59",104,0.151262500000001
"60",101,0.265002899999999
"61",166,0.251764700000006
"62",166,0.256615700000005
"63",101,0.116096299999995
"64",104,0.334040499999993
"65",101,0.265002899999999
"66",20,0.0505424000000012
"67",101,0.235098900000004
"68",166,0.256615700000005
"69",102,0.0204044000000039
"70",166,0.251764700000006
"71",166,0.251764700000006
"72",104,0.340932500000001
"73",104,0.212928499999997
"74",166,0.251764700000006
"75",165,0.0702082000000033
"76",104,0.184243499999994
"77",102,0.0204044000000039
"78",99,0.0665973000000015
"79",20,0.0505424000000012
"80",104,0.326909499999999
"81",101,0.265002899999999
"82",75,0.358527499999994
"83",166,0.0567947000000011
"84",165,0.0658612000000076
"85",110,0.218557699999998
"86",33,0.0466073999999992
"87",165,0.0658612000000076
"88",6,0.347339900000009
"89",101,0.116096299999995
"90",165,0.0658612000000076
"91",166,0.0567947000000011
"92",166,0.0925316999999986
"93",12,0.479166599999999
"94",166,0.456731700000006
"95",102,0.0204044000000039
"96",166,0.358826700000002
"97",102,0.0204044000000039
"98",165,0.0658612000000076
"99",166,0.256615700000005
"100",20,0.0505424000000012
"101",166,0.362038700000006
"102",132,0.0434576999999976
"103",100,0.100698099999995
"104",166,0.2528197
"105",166,0.100792700000003
"106",166,0.362038700000006
"107",165,0.0658612000000076
"108",34,0.372267300000001
"109",166,0.0567947000000011
"110",91,0.0518346999999935
"111",165,0.0658612000000076
"112",165,0.053640799999993
"113",166,0.362038700000006
"114",100,0.176357100000001
"115",166,0.100792700000003
"116",165,0.0658612000000076
"117",20,0.0505424000000012
"118",166,0.251764700000006
"119",132,0.263486300000004
"120",166,0.362038700000006
"121",166,0.362038700000006
"122",165,0.0658612000000076
"123",165,0.0658612000000076
"124",165,0.0658612000000076
"125",165,0.0658612000000076
"126",33,0.066867399999996
"127",165,0.0807222000000003
"128",20,0.0505424000000012
"129",102,0.0204044000000039
"130",34,0.025306300000004
"131",166,0.358826700000002
"132",91,0.0518346999999935
"133",118,0.0436653999999983
"134",34,0.025306300000004
"135",33,0.0466073999999992
"136",166,0.251764700000006
"137",102,0.0204044000000039
"138",33,0.0466073999999992
"139",34,0.025306300000004
"140",34,0.025306300000004
"141",102,0.0204044000000039
"142",5,0.0235259999999968
"143",91,0.0492816999999945
"144",167,0.0570859000000041
"145",166,0.358826700000002
"146",20,0.0505424000000012
"147",166,0.302875700000005
"148",166,0.267597700000003
"149",102,0.0204044000000039
"150",20,0.0505424000000012
"151",26,0.0298778000000048
"152",166,0.0183866999999971
"153",166,0.0183866999999971
"154",101,0.265002899999999
"155",101,0.426291900000002
"156",168,0.111324599999996
"157",32,0.0207118999999949
"158",23,0.0510952999999965
"159",41,0.1717671
"160",165,0.053640799999993
"161",166,0.137875700000002
"162",102,0.0204044000000039
"163",102,0.0204044000000039
"164",166,0.358826700000002
"165",165,0.0807222000000003
"166",166,0.358826700000002
"167",102,0.0204044000000039
"168",102,0.0204044000000039
"169",166,0.125653700000001
"170",75,0.255193499999997
"171",100,0.1426081
"172",102,0.0204044000000039
"173",33,0.0466073999999992
"174",101,0.265002899999999
"175",101,0.265002899999999
"176",166,0.100792700000003
"177",91,0.0518346999999935
"178",166,0.137875700000002
"179",166,0.0183866999999971
"180",167,0.0570859000000041
"181",166,0.100792700000003
"182",99,0.0665973000000015
"183",32,0.270222899999997
"184",166,0.100792700000003
"185",91,0.0518346999999935
"186",166,0.358826700000002
"187",6,0.155292699999997
"188",166,0.358826700000002
