"","nearest_gov","dist_nearest_gov"
"1785",248,0.0388543999999982
"1786",250,0.0293853000000084
"1787",248,0.0388543999999982
"1788",361,0.068233100000004
"1789",248,0.0388543999999982
"1790",361,0.068233100000004
"1791",250,0.0766216999999934
"1792",249,0.0823097000000033
"1793",250,0.061394700000001
"1794",247,0.00668770000000052
"1795",248,0.013206799999999
"1796",248,0.0282463999999969
"1797",247,0.00668770000000052
"1798",247,0.00668770000000052
"1799",247,0.00668770000000052
"1800",249,0.0434832999999948
"1801",247,0.00668770000000052
"1802",250,0.0293853000000084
"1803",248,0.0282463999999969
"1804",248,0.0388543999999982
"1805",250,0.0293853000000084
"1806",248,0.0388543999999982
"1807",250,0.0304403000000022
"1808",249,0.0823097000000033
"1809",247,0.00668770000000052
"1810",361,0.068233100000004
"1811",249,0.0091753000000061
"1812",249,0.024868300000005
"1813",249,0.0294286999999969
"1814",250,0.0293853000000084
"1815",248,0.0388543999999982
"1816",247,0.00668770000000052
"1817",247,0.00668770000000052
"1818",250,0.0766216999999934
"1819",249,0.0294286999999969
"1820",249,0.0294286999999969
"1821",294,0.0742784000000007
"1822",250,0.0766216999999934
"1823",247,0.0608013000000014
"1824",250,0.0766216999999934
"1825",249,0.024868300000005
"1826",248,0.013206799999999
"1827",249,0.0294286999999969
"1828",247,0.00668770000000052
"1829",249,0.045422300000002
"1830",247,0.00668770000000052
"1831",248,0.0282463999999969
"1832",247,0.00668770000000052
"1833",249,0.0434832999999948
"1834",247,0.00668770000000052
"1835",247,0.00668770000000052
"1836",289,0.0155260000000048
"1837",249,0.0294286999999969
"1838",247,0.00668770000000052
"1839",250,0.0766216999999934
"1840",247,0.00668770000000052
"1841",247,0.00668770000000052
"1842",248,0.0388543999999982
"1843",248,0.0388543999999982
"1844",248,0.0282463999999969
"1845",247,0.00668770000000052
"1846",249,0.0294286999999969
"1847",250,0.0293853000000084
"1848",248,0.0388543999999982
"1849",250,0.0293853000000084
"1850",275,0.0615264999999958
"1851",247,0.00668770000000052
"1852",250,0.0766216999999934
"1853",247,0.00668770000000052
"1854",248,0.0282463999999969
"1855",247,0.00668770000000052
"1856",249,0.0434832999999948
"1857",249,0.0434832999999948
"1858",249,0.0434832999999948
"1859",247,0.00668770000000052
"1860",250,0.0766216999999934
"1861",247,0.00668770000000052
"1862",247,0.00668770000000052
"1863",249,0.045422300000002
"1864",247,0.00668770000000052
"1865",248,0.0282463999999969
"1866",248,0.0388543999999982
"1867",247,0.00668770000000052
"1868",247,0.00668770000000052
"1869",361,0.068233100000004
"1870",247,0.00668770000000052
"1871",250,0.0766216999999934
"1872",249,0.00265870000000135
"1873",250,0.0766216999999934
"1874",250,0.0766216999999934
"1875",248,0.0282463999999969
"1876",247,0.00668770000000052
"1877",248,0.0388543999999982
"1878",247,0.00668770000000052
"1879",247,0.00668770000000052
"1880",249,0.0294286999999969
"1881",249,0.0294286999999969
"1882",249,0.0434832999999948
"1883",248,0.0282463999999969
"1884",247,0.00668770000000052
"1885",249,0.0576447000000009
"1886",248,0.0282463999999969
"1887",248,0.0388543999999982
"1888",248,0.0388543999999982
"1889",247,0.00668770000000052
"1890",247,0.00668770000000052
"1891",247,0.00668770000000052
"1892",250,0.0766216999999934
"1893",250,0.0304403000000022
"1894",249,0.0434832999999948
"1895",247,0.00668770000000052
"1896",248,0.0282463999999969
"1897",250,0.061394700000001
"1898",247,0.00668770000000052
"1899",247,0.00668770000000052
"1900",245,0.00616540000000043
"1901",117,0.0027468000000006
"1902",148,0.0170758000000006
"1903",250,0.061394700000001
"1904",250,0.061394700000001
"1905",245,0.00616540000000043
"1906",177,0.00223599999999635
"1907",249,0.024868300000005
"1908",247,0.00668770000000052
"1909",361,0.068233100000004
"1910",127,0.0337323999999981
"1911",361,0.068233100000004
"1912",250,0.0766216999999934
"1913",245,0.00616540000000043
"1914",245,0.00616540000000043
"1915",338,0.0138017000000019
"1916",248,0.0388543999999982
"1917",289,0.0155260000000048
"1918",249,0.0576447000000009
"1919",249,0.045422300000002
"1920",250,0.0766216999999934
"1921",250,0.0304403000000022
"1922",247,0.00668770000000052
"1923",249,0.0434832999999948
"1924",247,0.00668770000000052
"1925",274,0.100626199999997
"1926",248,0.0388543999999982
"1927",247,0.00668770000000052
"1928",249,0.0576447000000009
"1929",249,0.0434832999999948
"1930",248,0.0282463999999969
"1931",361,0.068233100000004
"1932",250,0.0766216999999934
"1933",248,0.013206799999999
"1934",247,0.00668770000000052
"1935",249,0.0823097000000033
"1936",247,0.00668770000000052
"1937",247,0.00668770000000052
"1938",361,0.068233100000004
"1939",275,0.0615264999999958
"1940",249,0.0434832999999948
"1941",250,0.0766216999999934
"1942",247,0.00668770000000052
"1943",250,0.0304403000000022
"1944",249,0.024868300000005
"1945",274,0.100626199999997
"1946",250,0.0255893000000036
"1947",249,0.0434832999999948
"1948",247,0.00668770000000052
"1949",361,0.068233100000004
"1950",250,0.0255893000000036
"1951",249,0.00265870000000135
"1952",250,0.0766216999999934
"1953",247,0.00668770000000052
"1954",248,0.0473153999999987
"1955",250,0.0510623000000052
"1956",249,0.0306587
"1957",249,0.0294286999999969
"1958",248,0.013206799999999
"1959",249,0.0434832999999948
"1960",249,0.0294286999999969
"1961",248,0.0388543999999982
"1962",247,0.00668770000000052
"1963",248,0.013206799999999
"1964",249,0.0294286999999969
"1965",248,0.0388543999999982
"1966",248,0.0388543999999982
"1967",247,0.00668770000000052
"1968",250,0.0766216999999934
"1969",248,0.013206799999999
"1970",247,0.00668770000000052
"1971",249,0.0294286999999969
"1972",247,0.00668770000000052
"1973",250,0.0798336999999982
"1974",249,0.0294286999999969
"1975",249,0.0294286999999969
"1976",248,0.0473153999999987
"1977",248,0.013206799999999
"1978",250,0.0304403000000022
"1979",248,0.0388543999999982
"1980",249,0.0434832999999948
"1981",249,0.045422300000002
"1982",247,0.00668770000000052
"1983",249,0.0294286999999969
"1984",247,0.00668770000000052
"1985",250,0.0798336999999982
"1986",249,0.0294286999999969
"1987",247,0.00668770000000052
"1988",248,0.0388543999999982
"1989",247,0.00668770000000052
"1990",247,0.00668770000000052
"1991",247,0.00668770000000052
"1992",250,0.0766216999999934
"1993",247,0.00668770000000052
"1994",250,0.0766216999999934
