"id_nearest_chp","dist_nearest_chp"
166,0.100792700000003
91,0.0518346999999935
101,0.249335300000006
166,0.132875700000003
99,0.0665973000000015
165,0.0658612000000076
167,0.0570859000000041
167,0.0570859000000041
167,0.0570859000000041
166,0.256615700000005
166,0.256615700000005
167,0.0570859000000041
104,0.232760499999998
99,0.0665973000000015
166,0.362038700000006
20,0.0505424000000012
6,0.155292699999997
168,0.111324599999996
113,0.0905132999999942
101,0.267537900000008
38,0.0741097999999987
166,0.362038700000006
167,0.0570859000000041
167,0.0570859000000041
101,0.181846300000004
101,0.378513300000009
101,0.378513300000009
166,0.362038700000006
5,0.126375000000003
101,0.265002899999999
99,0.0665973000000015
101,0.265002899999999
101,0.265002899999999
101,0.196149900000002
167,0.0665359000000052
132,0.249882700000001
104,0.212928499999997
12,0.434936799999999
101,0.265002899999999
101,0.265002899999999
110,0.321790700000001
166,0.251764700000006
101,0.235098900000004
167,0.0908469000000025
132,0.266548699999994
6,0.155292699999997
104,0.334040499999993
104,0.334040499999993
12,0.434936799999999
166,0.251764700000006
101,0.265002899999999
12,0.421279600000005
165,0.0658612000000076
113,0.0905132999999942
166,0.256615700000005
104,0.340932500000001
104,0.212928499999997
134,0.019023599999997
104,0.151262500000001
101,0.265002899999999
166,0.251764700000006
166,0.256615700000005
101,0.116096299999995
104,0.334040499999993
101,0.265002899999999
20,0.0505424000000012
101,0.235098900000004
166,0.256615700000005
102,0.0204044000000039
166,0.251764700000006
166,0.251764700000006
104,0.340932500000001
104,0.212928499999997
166,0.251764700000006
165,0.0702082000000033
104,0.184243499999994
102,0.0204044000000039
99,0.0665973000000015
20,0.0505424000000012
104,0.326909499999999
101,0.265002899999999
75,0.358527499999994
166,0.0567947000000011
165,0.0658612000000076
110,0.218557699999998
33,0.0466073999999992
165,0.0658612000000076
6,0.347339900000009
101,0.116096299999995
165,0.0658612000000076
166,0.0567947000000011
166,0.0925316999999986
12,0.479166599999999
166,0.456731700000006
102,0.0204044000000039
166,0.358826700000002
102,0.0204044000000039
165,0.0658612000000076
166,0.256615700000005
20,0.0505424000000012
166,0.362038700000006
132,0.0434576999999976
100,0.100698099999995
166,0.2528197
166,0.100792700000003
166,0.362038700000006
165,0.0658612000000076
34,0.372267300000001
166,0.0567947000000011
91,0.0518346999999935
165,0.0658612000000076
165,0.053640799999993
166,0.362038700000006
100,0.176357100000001
166,0.100792700000003
165,0.0658612000000076
20,0.0505424000000012
166,0.251764700000006
