"","nearest_pow","dist_nearest_pow"
"1",1520,0.00817070000000086
"2",622,0.0011339000000028
"3",1254,0.0903485999999987
"4",911,0.00270090000000067
"5",424,0.0215570000000049
"6",1663,0.00501079999999376
"7",361,0.0021450999999999
"8",361,0.0021450999999999
"9",361,0.0021450999999999
"10",1510,0.00171860000000024
"11",1510,0.00171860000000024
"12",361,0.0021450999999999
"13",70,0.00731580000000065
"14",424,0.0215570000000049
"15",931,0.0185574000000059
"16",1144,0.0017294000000021
"17",1139,0.00080239999999776
"18",681,0.0062262000000004
"19",1666,0.0547800999999986
"20",1346,0.000523300000004667
"21",331,0.0226155000000006
"22",931,0.0185574000000059
"23",361,0.0021450999999999
"24",361,0.0021450999999999
"25",1924,0.0906716000000003
"26",1459,0.0966439000000037
"27",1459,0.0966439000000037
"28",931,0.0185574000000059
"29",444,0.012998900000003
"30",866,0.0011844999999937
"31",424,0.0215570000000049
"32",866,0.0011844999999937
"33",866,0.0011844999999937
"34",836,0.0013196000000022
"35",1426,0.00194799999999162
"36",1355,0.00649440000000823
"37",1317,0.000784400000000574
"38",1218,0.5024169
"39",866,0.0011844999999937
"40",866,0.0011844999999937
"41",123,0.0298484000000059
"42",1571,0.00688920000000337
"43",841,0.000668199999999786
"44",223,0.00138969999999716
"45",1009,0.0221407999999954
"46",1139,0.00080239999999776
"47",90,0.020052800000002
"48",90,0.020052800000002
"49",1218,0.5024169
"50",1571,0.00688920000000337
"51",866,0.0011844999999937
"52",941,0.5380933
"53",1663,0.00501079999999376
"54",1666,0.0547800999999986
"55",1510,0.00171860000000024
"56",132,0.00208879999999567
"57",1317,0.000784400000000574
"58",1387,0.000423500000003685
"59",104,0.000846000000002789
"60",866,0.0011844999999937
"61",1571,0.00688920000000337
"62",1510,0.00171860000000024
"63",1924,0.0333575999999951
"64",90,0.020052800000002
"65",866,0.0011844999999937
"66",1144,0.0017294000000021
"67",841,0.000668199999999786
"68",1510,0.00171860000000024
"69",201,0.00242970000000042
"70",1571,0.00688920000000337
"71",1571,0.00688920000000337
"72",132,0.00208879999999567
"73",1317,0.000784400000000574
"74",1571,0.00688920000000337
"75",1626,0.0390967000000053
"76",119,0.000401000000003648
"77",201,0.00242970000000042
"78",424,0.0215570000000049
"79",1144,0.0017294000000021
"80",124,0.000476699999993002
"81",866,0.0011844999999937
"82",1940,0.100635399999998
"83",1680,0.00574600000000558
"84",1663,0.00501079999999376
"85",742,0.00126199999999699
"86",1182,0.004833799999993
"87",1663,0.00501079999999376
"88",1968,0.0129891000000057
"89",1924,0.0333575999999951
"90",1663,0.00501079999999376
"91",1680,0.00574600000000558
"92",1364,0.00129219999999108
"93",941,0.490152300000005
"94",935,0.121890699999998
"95",201,0.00242970000000042
"96",931,0.0385998000000001
"97",201,0.00242970000000042
"98",1663,0.00501079999999376
"99",1510,0.00171860000000024
"100",1144,0.0017294000000021
"101",931,0.0185574000000059
"102",726,0.00146180000000129
"103",1272,0.00262839999999898
"104",1571,0.00200660000000141
"105",1520,0.00817070000000086
"106",931,0.0185574000000059
"107",1663,0.00501079999999376
"108",1967,0.0251253000000027
"109",1680,0.00574600000000558
"110",622,0.0011339000000028
"111",1663,0.00501079999999376
"112",909,0.0308317000000002
"113",931,0.0185574000000059
"114",257,0.00375919999999397
"115",1520,0.00817070000000086
"116",1663,0.00501079999999376
"117",1144,0.0017294000000021
"118",1571,0.00688920000000337
"119",1132,0.00953660000000411
"120",931,0.0185574000000059
"121",931,0.0185574000000059
"122",1663,0.00501079999999376
"123",1663,0.00501079999999376
"124",1663,0.00501079999999376
"125",1663,0.00501079999999376
"126",892,0.00146760000000512
"127",886,0.00111689999999953
"128",1144,0.0017294000000021
"129",201,0.00242970000000042
"130",873,0.0210081000000031
"131",931,0.0385998000000001
"132",622,0.0011339000000028
"133",613,0.000584200000005808
"134",873,0.0210081000000031
"135",1182,0.004833799999993
"136",1571,0.00688920000000337
"137",201,0.00242970000000042
"138",1182,0.004833799999993
"139",873,0.0210081000000031
"140",873,0.0210081000000031
"141",201,0.00242970000000042
"142",588,0.00237549999999942
"143",523,0.00535520000000389
"144",361,0.0021450999999999
"145",931,0.0385998000000001
"146",1144,0.0017294000000021
"147",930,0.0177800000000055
"148",1526,0.0205894999999998
"149",201,0.00242970000000042
"150",1144,0.0017294000000021
"151",432,0.00602819999999227
"152",1518,0.0184102000000053
"153",1518,0.0184102000000053
"154",866,0.0011844999999937
"155",1853,0.0749798000000013
"156",681,0.0062262000000004
"157",874,0.00858080000000072
"158",593,0.00185289999999938
"159",1239,0.00639800000000079
"160",909,0.0308317000000002
"161",921,0.016510199999999
"162",201,0.00242970000000042
"163",201,0.00242970000000042
"164",931,0.0385998000000001
"165",886,0.00111689999999953
"166",931,0.0385998000000001
"167",201,0.00242970000000042
"168",201,0.00242970000000042
"169",1462,0.0475245000000015
"170",1941,0.00933889999999593
"171",148,0.00326740000000214
"172",201,0.00242970000000042
"173",1182,0.004833799999993
"174",866,0.0011844999999937
"175",866,0.0011844999999937
"176",1520,0.00817070000000086
"177",622,0.0011339000000028
"178",921,0.016510199999999
"179",1518,0.0184102000000053
"180",361,0.0021450999999999
"181",1520,0.00817070000000086
"182",424,0.0215570000000049
"183",1543,0.103322799999997
"184",1520,0.00817070000000086
"185",622,0.0011339000000028
"186",931,0.0385998000000001
"187",1139,0.00080239999999776
"188",931,0.0385998000000001
"189",1520,0.00817070000000086
"190",841,0.000668199999999786
"191",424,0.0215570000000049
"192",921,0.016510199999999
"193",930,0.0177800000000055
"194",201,0.00242970000000042
